id,rating,votes
1549,7.1,317335.0
1552,5.6,6150.0
1554,7.2,315.0
1555,7.2,5843.0
1556,7.7,369555.0
1557,5.6,11743.0
1560,6.9,42640.0
1561,6.6,57706.0
1562,8.0,42143.0
1563,8.3,29599.0
1564,6.8,67441.0
1565,5.8,91611.0
1570,6.9,136985.0
1572,7.6,431204.0
1574,7.1,43463.0
1575,5.5,3305.0
1578,6.5,2687.0
1583,5.6,5863.0
1584,5.9,5042.0
1585,7.5,132700.0
1586,7.3,40547.0
1587,6.7,6388.0
1588,7.5,10407.0
1589,6.7,3483.0
1590,6.4,5234.0
1592,7.3,45514.0
1593,6.8,8862.0
1594,7.8,57438.0
1595,5.8,14368.0
1599,6.7,19702.0
1600,5.9,88037.0
1602,6.9,6691.0
1604,6.0,154715.0
1605,6.9,148398.0
1606,7.2,39064.0
1609,3.4,27836.0
1610,7.5,581480.0
1611,6.1,255.0
1612,7.2,2932.0
1613,7.5,257025.0
1614,6.0,3991.0
1616,6.5,14241.0
1617,7.5,293970.0
1621,6.7,67858.0
1624,7.2,17843.0
1626,5.9,3896.0
1627,7.0,6592.0
1629,7.3,275281.0
1630,5.8,2480.0
1631,6.1,1784.0
1632,6.1,127.0
1634,8.3,2517.0
1635,6.9,35281.0
1636,6.1,828.0
1637,7.2,64761.0
1643,6.4,11144.0
1646,6.6,2759.0
1648,6.4,2564.0
1649,8.0,138515.0
1650,7.5,405421.0
1652,6.5,4814.0
1653,5.7,16781.0
1655,8.0,167889.0
1656,7.8,250688.0
1657,5.6,43964.0
1658,7.4,453406.0
1662,6.1,39308.0
1663,7.0,308672.0
1665,7.2,4918.0
1667,5.6,4918.0
1668,7.7,160087.0
1669,5.3,8784.0
1674,7.9,412435.0
1675,6.8,1706.0
1676,7.2,8101.0
1678,6.6,882.0
1680,6.2,3764.0
1681,6.2,5244.0
1682,6.5,513768.0
1683,6.0,325538.0
1687,3.8,57602.0
1689,5.6,43001.0
1691,6.9,2967.0
1692,6.1,108423.0
1694,7.0,7217.0
1695,7.5,5283.0
1696,7.1,10574.0
1697,6.3,2623.0
1708,4.3,5226.0
1710,7.3,18396.0
1713,7.5,15812.0
1714,6.7,210729.0
1717,7.1,15188.0
1723,6.8,2949.0
1725,4.6,8978.0
1727,7.6,3766.0
1729,7.1,41376.0
1730,7.2,25252.0
1731,7.5,8625.0
1733,6.5,64091.0
1736,7.3,13786.0
1737,4.2,9500.0
1739,7.4,28638.0
1741,6.9,18468.0
1742,4.7,4719.0
1743,7.9,477967.0
1745,6.6,151491.0
1746,6.8,7798.0
1747,7.9,315410.0
1748,7.1,63617.0
1751,7.4,81060.0
1753,7.2,407841.0
1754,8.1,88859.0
1757,7.3,4653.0
1758,6.5,2121.0
1759,6.6,7452.0
1761,7.4,47912.0
1763,7.9,12884.0
1765,7.0,5796.0
1766,7.9,43174.0
1768,7.9,261278.0
1770,7.9,254310.0
1771,8.2,300906.0
1772,8.3,408955.0
1774,6.4,5291.0
1775,8.0,180501.0
