film,filmLabel,book,bookLabel
http://www.wikidata.org/entity/Q16953766,Bring Me the Head of Charlie Brown,http://www.wikidata.org/entity/Q7115636,Peanuts
http://www.wikidata.org/entity/Q18349897,Little Iodine,http://www.wikidata.org/entity/Q6650423,Little Iodine
http://www.wikidata.org/entity/Q22808794,Batgirl XXX: An Extreme Comixxx Parody,http://www.wikidata.org/entity/Q2633138,Batman
http://www.wikidata.org/entity/Q22944613,Seuls,http://www.wikidata.org/entity/Q2648245,Seuls
http://www.wikidata.org/entity/Q26304735,Zipi y Zape y la isla del capitán,http://www.wikidata.org/entity/Q2723696,Zipi y Zape
http://www.wikidata.org/entity/Q55439830,Men in Black: International,http://www.wikidata.org/entity/Q2759785,The Men in Black
http://www.wikidata.org/entity/Q57177410,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,http://www.wikidata.org/entity/Q2635755,Birds of Prey
http://www.wikidata.org/entity/Q58304433,Fingerpori,http://www.wikidata.org/entity/Q5450277,Fingerpori
http://www.wikidata.org/entity/Q62019357,The Bandit Brothers,http://www.wikidata.org/entity/Q4096082,The Robber Brothers
http://www.wikidata.org/entity/Q66022727,Valhalla,http://www.wikidata.org/entity/Q2602450,Valhalla
http://www.wikidata.org/entity/Q114149082,Dampyr,http://www.wikidata.org/entity/Q2755229,Dampyr
http://www.wikidata.org/entity/Q118042795,Nonte Fonte,http://www.wikidata.org/entity/Q7049624,Nonte Phonte
http://www.wikidata.org/entity/Q121239784,Chico Bento e a Goiabeira Maraviósa,http://www.wikidata.org/entity/Q5115360,Chuck Billy 'n' Folks
http://www.wikidata.org/entity/Q135225272,Q135225272,http://www.wikidata.org/entity/Q6086584,Robinson Crusoe & Cuma
http://www.wikidata.org/entity/Q1065945,Tamara Drewe,http://www.wikidata.org/entity/Q11896233,Tamara Drewe
http://www.wikidata.org/entity/Q3225839,The Octopus,http://www.wikidata.org/entity/Q3225838,The Octopus
http://www.wikidata.org/entity/Q135230,Bullet to the Head,http://www.wikidata.org/entity/Q3040395,Du plomb dans la tête
http://www.wikidata.org/entity/Q300439,A History of Violence,http://www.wikidata.org/entity/Q3092504,A History of Violence
http://www.wikidata.org/entity/Q5900578,Tales of the Stinking Military Service,http://www.wikidata.org/entity/Q3138352,Q3138352
http://www.wikidata.org/entity/Q4941,Skyfall,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q19089,GoldenEye,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q30931,Die Another Day,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q181540,Quantum of Solace,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q207916,Tomorrow Never Dies,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q212145,The World Is Not Enough,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q309086,Licence to Kill,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q320423,The Spy Who Loved Me,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q468033,Road to Perdition,http://www.wikidata.org/entity/Q3235421,Road to Perdition
http://www.wikidata.org/entity/Q492908,Snowpiercer,http://www.wikidata.org/entity/Q3227781,Le Transperceneige
http://www.wikidata.org/entity/Q599645,Famous Five,http://www.wikidata.org/entity/Q1134354,The Famous Five
http://www.wikidata.org/entity/Q773293,The Bible: In the Beginning...,http://www.wikidata.org/entity/Q1845,Bible
http://www.wikidata.org/entity/Q3795459,Sins of Jezebel,http://www.wikidata.org/entity/Q1845,Bible
http://www.wikidata.org/entity/Q5990311,"Makinavaja, el último choriso",http://www.wikidata.org/entity/Q3280834,Q3280834
http://www.wikidata.org/entity/Q6124812,¡¡Semos peligrosos!! (uséase Makinavaja 2),http://www.wikidata.org/entity/Q3280834,Q3280834
http://www.wikidata.org/entity/Q7768400,The Ten Commandments,http://www.wikidata.org/entity/Q1845,Bible
http://www.wikidata.org/entity/Q15811124,The Famous Five 3,http://www.wikidata.org/entity/Q1134354,The Famous Five
http://www.wikidata.org/entity/Q18602670,Spectre,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q18973887,Famous Five 4,http://www.wikidata.org/entity/Q1134354,The Famous Five
http://www.wikidata.org/entity/Q64386643,Bond 26,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q111795356,Q111795356,http://www.wikidata.org/entity/Q3234673,Les Pieds nickelés
http://www.wikidata.org/entity/Q120868311,Les blagues de Toto 2 : Classe verte,http://www.wikidata.org/entity/Q3231052,Q3231052
http://www.wikidata.org/entity/Q135456754,Double 0 Blonde,http://www.wikidata.org/entity/Q844,James Bond
http://www.wikidata.org/entity/Q93443,St Trinian's,http://www.wikidata.org/entity/Q3495306,St Trinian's School
http://www.wikidata.org/entity/Q1084074,Mystery Men,http://www.wikidata.org/entity/Q5457222,Flaming Carrot Comics
http://www.wikidata.org/entity/Q3793376,Captain Thunder,http://www.wikidata.org/entity/Q3751011,Capitán Trueno
http://www.wikidata.org/entity/Q15985075,Smurfs: The Lost Village,http://www.wikidata.org/entity/Q4537599,The Smurfs
http://www.wikidata.org/entity/Q19516140,Anacleto: agente secreto,http://www.wikidata.org/entity/Q4750683,"Anacleto, agente secreto"
http://www.wikidata.org/entity/Q22000275,Las puertitas del señor López,http://www.wikidata.org/entity/Q4006598,Q4006598
http://www.wikidata.org/entity/Q27887396,Tamara,http://www.wikidata.org/entity/Q3514647,Tamara
http://www.wikidata.org/entity/Q550205,Much Ado About Nothing,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q565231,Ran,http://www.wikidata.org/entity/Q181598,King Lear
http://www.wikidata.org/entity/Q1086921,Oedipus Rex,http://www.wikidata.org/entity/Q148643,Oedipus Rex
http://www.wikidata.org/entity/Q2406650,King Lear,http://www.wikidata.org/entity/Q181598,King Lear
http://www.wikidata.org/entity/Q2559966,Hedda,http://www.wikidata.org/entity/Q176465,Hedda Gabler
http://www.wikidata.org/entity/Q2707428,King Lear,http://www.wikidata.org/entity/Q181598,King Lear
http://www.wikidata.org/entity/Q3009047,Much Ado About Nothing,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q3197020,King Lear,http://www.wikidata.org/entity/Q181598,King Lear
http://www.wikidata.org/entity/Q4271873,Love for love,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q4298828,Much Ado About Nothing,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q5292863,Don Juan,http://www.wikidata.org/entity/Q179485,Don Juan
